htsCode,description,species,program
0306.17.0010,"Frozen Farmed NSPF Shrimps and Prawns; Shell-on, Count size less than 67-88 per kg (31-40s)",Shrimp,SIMP
0306.17.0011,"Frozen Farmed NSPF Shrimps and Prawns; Shell-on, Count size less than 89-110 per kg (41-50s)",Shrimp,SIMP
0306.17.0013,"Frozen Farmed NSPF Shrimps and Prawns; Shell-on, Count size less than 111-132 per kg (51-60s)",Shrimp,SIMP
0306.17.0014,"Frozen Farmed NSPF Shrimps and Prawns; Shell-on, Count size less than 133-154 per kg (61-70s)",Shrimp,SIMP
0306.17.0016,"Frozen Farmed NSPF Shrimps and Prawns; Shell-on, Count more than 154 per kg (70s)",Shrimp,SIMP
0306.17.0017,"Frozen Not Farmed NSPF Shrimps and Prawns; Shell-on, Count size (headless weight) less than 33 per kg (15s)",Shrimp,SIMP
0306.17.0019,"Frozen Not Farmed NSPF Shrimps and Prawns; Shell-on, Count size less than 33-45 per kg (15-20s)",Shrimp,SIMP
0306.17.0020,"Frozen Not Farmed NSPF Shrimps and Prawns; Shell-on, Count size less than 46-55 per kg (21-25s)",Shrimp,SIMP
0306.17.0022,"Frozen Not Farmed NSPF Shrimps and Prawns; Shell-on, Count size less than 56-66 per kg (26-30s)",Shrimp,SIMP
0306.17.0023,"Frozen Not Farmed NSPF Shrimps and Prawns; Shell-on, Count size less than 67-88 per kg (31-40s)",Shrimp,SIMP
0306.17.0025,"Frozen Not Farmed NSPF Shrimps and Prawns; Shell-on, Count size less than 89-110 per kg (41-50s)",Shrimp,SIMP
0306.17.0026,"Frozen Not Farmed NSPF Shrimps and Prawns; Shell-on, Count size less than 111-132 per kg (51-60s)",Shrimp,SIMP
0306.17.0028,"Frozen Not Farmed NSPF Shrimps and Prawns; Shell-on, Count size less than 133-154 per kg (61-70s)",Shrimp,SIMP
0306.17.0029,"Frozen Not Farmed NSPF Shrimps and Prawns; Shell-on, Count more than 154 per kg (70s)",Shrimp,SIMP
0306.17.0041,Frozen Farmed NSPF Shrimps and Prawns; Peeled,Shrimp,SIMP
0306.17.0042,Frozen Not Farmed NSPF Shrimps and Prawns; Peeled,Shrimp,SIMP
0306.35.0020,"Live, Fresh or Chilled Cold-water Shrimps and Prawns (Pandalus spp., Crangon crangon); Shell-on",Shrimp,SIMP
0306.35.0040,"Live, Fresh or Chilled Cold-water Shrimps and Prawns (Pandalus spp., Crangon crangon); Peeled",Shrimp,SIMP
0306.36.0020,"Live, Fresh or Chilled NSPF Cold-water Shrimps and Prawns; Shell-on",Shrimp,SIMP
0306.36.0040,"Live, Fresh or Chilled NSPF Cold-water Shrimps and Prawns; Peeled",Shrimp,SIMP
0306.95.0020,"Dried, Salted, in Brine, or Smoked NSPF Shrimp and Prawns; Shell-on",Shrimp,SIMP
0306.95.0040,"Dried, Salted, in Brine, or Smoked NSPF Shrimp and Prawns; Peeled",Shrimp,SIMP
1605.21.0500,Prepared Meals of NSPF Shrimps and Prawns containing fish meat; Not in airtight containers,Shrimp,SIMP
1605.21.1020,Frozen prepared or preserved NSPF Shrimp and Prawns; Breaded; Not in airtight containers,Shrimp,SIMP
1605.21.1030,Frozen prepared or preserved NSPF Shrimp and Prawns; Not in airtight containers,Shrimp,SIMP
1605.21.1050,Prepared or preserved NSPF Shrimp and Prawns; Not Frozen; Not in airtight containers,Shrimp,SIMP
1605.29.0500,Prepared Meals of NSPF Shrimps and Prawns containing fish meat,Shrimp,SIMP
1605.29.1010,Frozen prepared or preserved NSPF Shrimp and Prawns,Shrimp,SIMP
1605.29.1040,Prepared or preserved NSPF Shrimp and Prawns; Not Frozen,Shrimp,SIMP
0302.47.0010,Fresh or Chilled Swordfish (Xiphias gladius) Steaks,Swordfish,"SIMP, HMS"
0302.47.0090,Fresh or Chilled Swordfish  (Xiphias gladius),Swordfish,"SIMP, HMS"
0303.57.0010,Frozen Swordfish (Xiphias gladius) Steaks,Swordfish,"SIMP, HMS"
0303.57.0090,Frozen Swordfish (Xiphias gladius),Swordfish,"SIMP, HMS"
0304.45.0000,Fresh or Chilled Swordfish (Xiphias gladius) Fillets,Swordfish,"SIMP, HMS"
0304.54.0000,Fresh or Chilled Swordfish (Xiphias gladius) Other Meat,Swordfish,"SIMP, HMS"
0304.84.0000,Frozen Swordfish (Xiphias gladius) Fillets,Swordfish,"SIMP, HMS"
0304.91.1000,Frozen Swordfish (Xiphias gladius) Other Meat; In bulk or in immediate containers weighing with their contents over 6.8 kg each,Swordfish,"SIMP, HMS"
0304.91.9000,Frozen Swordfish (Xiphias gladius) Other Meat,Swordfish,"SIMP, HMS"
0305.54.0000,"Dried Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae)",Swordfish,SIMP
0302.83.0000,Fresh or Chilled Toothfish (Dissostichus spp.) ,Toothfish,AMLR
0303.83.0000,Frozen Toothfish (Dissostichus spp.) ,Toothfish,AMLR
0304.46.0000,Fresh or Chilled Toothfish (Dissostichus spp.) Fillets,Toothfish,AMLR
0304.55.0000,Fresh or Chilled Toothfish (Dissostichus spp.) Other Meat,Toothfish,AMLR
